,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,Reformatted Genes
FABP6,33.52575741,-1.421792914,0.42878683,-3.315850243,0.000913648,0.015131409,,,FABP6
NACC2,513.1416843,-1.418225398,0.371708891,-3.815419625,0.000135952,0.003465519,,,NACC2
RP11-553E24.3,175.1264955,-1.417909036,0.425690041,-3.330848507,0.000865817,0.014571807,,,RP11
TRIB2,391.5335551,-1.414348589,0.460098498,-3.074012619,0.002112005,0.029088181,,,TRIB2
C7orf72,29.06545244,-1.411431991,0.456071512,-3.094760263,0.00196972,0.027563226,,,C7orf72
UTRN,5268.122725,-1.410345212,0.239759287,-5.882338204,4.04510698757002e-09,6.26908933619327e-07,,,UTRN
SMIM6,45.62087261,-1.408774708,0.390819545,-3.604667997,0.000312552,0.0066274,,,SMIM6
GLYATL1,14.10530664,-1.408536404,0.483679498,-2.912127574,0.00358976,0.043119179,,,GLYATL1
RP11-89A16.1,46.73889218,-1.404568211,0.486948528,-2.884428496,0.003921248,0.045681376,,,RP11
CRB1,2810.217872,-1.403689461,0.166951314,-8.40777727,4.17853685322807e-17,4.92628602311323e-14,,,CRB1
RP11-264B14.2,57.98402885,-1.402342491,0.480664403,-2.917508517,0.0035284,0.042533817,,,RP11
DOCK11,1368.630752,-1.401716901,0.263648744,-5.31660755,1.05719745548573e-07,9.87785301859766e-06,,,DOCK11
OVCH2,121.2288758,-1.399190378,0.441093076,-3.172097801,0.00151342,0.022599707,,,OVCH2
HOXC-AS3,56.59642886,-1.397145764,0.409995485,-3.407710119,0.000655104,0.011649102,,,HOXC
RP11-718L23.1,30.97253123,-1.395710661,0.48853703,-2.856918874,0.004277752,0.048821444,,,RP11
MAP3K6,59.24445371,-1.393717851,0.40319032,-3.456724484,0.000546784,0.010167673,,,MAP3K6
COL9A1,124.0160267,-1.392988115,0.352804321,-3.94833065,7.86980582696157e-05,0.002257447,,,COL9A1
AC096559.1,1001.282663,-1.392159735,0.327102642,-4.25603329,2.08085737245773e-05,0.00080302,,,AC096559.1
PPAP2B,380.206641,-1.387887356,0.320131384,-4.335367994,1.4551647913748e-05,0.000587523,,,PPAP2B
RP11-124N3.2,682.6181476,-1.386307853,0.259430483,-5.343658291,9.10892118512071e-08,8.66045373483715e-06,,,RP11
RGS9,346.3222399,-1.386227648,0.378739201,-3.660111346,0.000252106,0.005597363,,,RGS9
AC006372.4,32.94633125,-1.383937649,0.478366495,-2.893048872,0.003815219,0.044852736,,,AC006372.4
IGHVIII-51-1,223.0436347,-1.383374295,0.38186235,-3.622704088,0.000291539,0.00630661,,,IGHVIII
DARS-AS1,82.38775484,-1.383357127,0.410734677,-3.368006657,0.000757138,0.013059656,,,DARS
SPSB4,183.621319,-1.38191881,0.439352222,-3.145355231,0.001658853,0.024354974,,,SPSB4
CTC-264O10.2,49.69578998,-1.373953301,0.375181072,-3.662107186,0.000250149,0.005577442,,,CTC
RP4-782L23.2,29.07270392,-1.370812455,0.465832574,-2.942714894,0.003253479,0.040080345,,,RP4
RND3,137.1255542,-1.370357947,0.444748364,-3.081198397,0.002061692,0.028578861,,,RND3
RP11-983C2.1,1714.572942,-1.369789934,0.319602788,-4.285913591,1.81989721006525e-05,0.000716163,,,RP11
AC079305.11,504.0444639,-1.369699493,0.278388006,-4.920109566,8.64957790278086e-07,5.77585500530792e-05,,,AC079305.11
CDCP1,162.3556781,-1.369675102,0.224120855,-6.111323733,9.88080966157025e-10,1.89414317894443e-07,,,CDCP1
BMP5,35.42067241,-1.369073298,0.451789204,-3.030336464,0.002442814,0.032505147,,,BMP5
SYT6,452.2246787,-1.369028472,0.337253289,-4.059348022,4.92099240208541e-05,0.001568001,,,SYT6
HOXB7,24.4648892,-1.364410862,0.479382427,-2.846184562,0.004424654,0.049918144,,,HOXB7
RP11-223I10.1,2761.852016,-1.358642937,0.303056882,-4.483128468,7.35566154367365e-06,0.000341416,,,RP11
RP3-359N14.2,94.38216062,-1.357731894,0.414277099,-3.277352036,0.001047856,0.01684213,,,RP3
NRIP3,1139.282301,-1.356095874,0.229435779,-5.91056843,3.40929183575868e-09,5.45947541132065e-07,,,NRIP3
EYS,2023.847778,-1.355415251,0.31079243,-4.361159153,1.29375214958587e-05,0.000538242,,,EYS
LINC01299,548.0413393,-1.351392713,0.355915902,-3.796943898,0.000146491,0.003690288,,,LINC01299
AL133493.2,18.51605886,-1.350178684,0.413059507,-3.268726811,0.001080326,0.017234774,,,AL133493.2
RP11-375B1.1,515.0967792,-1.349680241,0.223300836,-6.044223852,1.50130949766888e-09,2.68177095799505e-07,,,RP11
CTC-261N6.2,2989.164617,-1.3494034,0.25579139,-5.275405874,1.32462586830051e-07,1.19668020492941e-05,,,CTC
TENM1,7178.414562,-1.348587343,0.285116109,-4.729958421,2.24565824781617e-06,0.000127899,,,TENM1
MASP1,43.51208371,-1.347416535,0.445408482,-3.025125451,0.0024853,0.032874668,,,MASP1
RP11-588G21.2,136.7132893,-1.345542342,0.387878236,-3.468981284,0.000522436,0.009831217,,,RP11
HMCN2,83.24264056,-1.345065505,0.296371558,-4.538443283,5.66710333917223e-06,0.000270495,,,HMCN2
LRRC55,369.3244796,-1.34017586,0.337783143,-3.967562879,7.26113578492803e-05,0.002129482,,,LRRC55
TRDN,91.13429298,-1.339544527,0.424725699,-3.153905047,0.001611015,0.02381575,,,TRDN
SLC27A6,491.5502122,-1.33901116,0.211637078,-6.326921416,2.50100639383116e-10,5.78149311373969e-08,,,SLC27A6
MTND1P36,129.9321352,-1.338524781,0.37650801,-3.555103068,0.000377831,0.007699979,,,MTND1P36
MAGEL2,763.442871,-1.337593059,0.432815383,-3.090447134,0.001998554,0.027883964,,,MAGEL2
RP11-383C5.3,33.51495945,-1.336067316,0.40659997,-3.285950359,0.001016389,0.016437202,,,RP11
EVX1-AS,47.65093014,-1.335836124,0.372020354,-3.590760849,0.000329714,0.006947567,,,EVX1
TEX26,293.0371573,-1.330523181,0.411834007,-3.230726845,0.001234759,0.019129026,,,TEX26
KIAA1024,539.0679445,-1.329877092,0.209277405,-6.35461384,2.08950856365679e-10,5.18616025499616e-08,,,KIAA1024
LINC00923,230.821316,-1.322474256,0.420675693,-3.143690678,0.001668317,0.024417904,,,LINC00923
MT1L,50.73158127,-1.321966158,0.365327812,-3.618575198,0.000296229,0.006384638,,,MT1L
CYP17A1,19.38613207,-1.319350519,0.429767445,-3.069917314,0.00214118,0.029379267,,,CYP17A1
RP11-304L19.13,110.1371522,-1.316711016,0.315595542,-4.17214707,3.01742762429414e-05,0.001071505,,,RP11
ST8SIA4,1392.758317,-1.316374616,0.254461658,-5.173174727,2.30149607337562e-07,1.93415424842259e-05,,,ST8SIA4
RP11-473N11.2,15623.63625,-1.312483495,0.216814615,-6.053482569,1.41747416861624e-09,2.57097103244633e-07,,,RP11
IGKV2OR22-4,6622.670853,-1.309913628,0.458820956,-2.854955969,0.00430428,0.049005605,,,IGKV2OR22
MID1,1020.912941,-1.309476844,0.18580007,-7.047773678,1.81803015279598e-12,7.39091947806491e-10,,,MID1
MCC,3705.578845,-1.309128643,0.2156949,-6.069353704,1.28426019333371e-09,2.40329929354091e-07,,,MCC
HMGN2P41,413.1983407,-1.307556225,0.336006029,-3.891466559,9.96401239465921e-05,0.002711807,,,HMGN2P41
VEGFC,107.1522759,-1.304558117,0.374795313,-3.480721531,0.000500065,0.009508899,,,VEGFC
SPINK14,65.89434645,-1.304123221,0.408259163,-3.194351379,0.001401454,0.021209814,,,SPINK14
C8orf34,7794.574373,-1.303916643,0.233858757,-5.575658831,2.46594795045534e-08,2.87844488731616e-06,,,C8orf34
PROKR2,137.1795317,-1.303028678,0.416007691,-3.132222571,0.001734883,0.02517342,,,PROKR2
RP11-91J19.3,114.7893073,-1.302746676,0.412728116,-3.156428227,0.001597142,0.023655156,,,RP11
PPARA,332.7397402,-1.298649966,0.328152546,-3.95745815,7.57515539509385e-05,0.002199687,,,PPARA
DAP3P1,175.5112064,-1.298641242,0.369905913,-3.510733939,0.000446871,0.008722501,,,DAP3P1
LUC7L2,138.4657955,-1.298638544,0.401647337,-3.233280602,0.001223773,0.018996275,,,LUC7L2
RP11-321L2.1,439.0644466,-1.295542432,0.301745328,-4.293496239,1.75881295436486e-05,0.000698166,,,RP11
NGB,53.65549985,-1.294919795,0.354307684,-3.654788913,0.000257394,0.005672042,,,NGB
SGCZ,29937.15603,-1.294416515,0.279920158,-4.624234721,3.75983923397594e-06,0.000192306,,,SGCZ
TACR1,1805.892803,-1.293340024,0.199269118,-6.490418766,8.55981107062131e-11,2.46120075766885e-08,,,TACR1
CLTCL1,532.8921686,-1.292094669,0.225503874,-5.729811392,1.00542362220472e-08,1.3863674612845e-06,,,CLTCL1
RP11-457M11.5,15.7485333,-1.291411624,0.417677326,-3.09188827,0.001988877,0.02778183,,,RP11
RP11-99A1.2,148.391765,-1.290589896,0.403317556,-3.199934833,0.001374587,0.020910567,,,RP11
ZNF813,30.13808787,-1.288689806,0.427530218,-3.014266016,0.002576018,0.033725672,,,ZNF813
SAMD9,25.89308004,-1.286737042,0.415112083,-3.09973401,0.001936945,0.027315327,,,SAMD9
CNTNAP3,2306.483022,-1.285146164,0.301585985,-4.261292721,2.03247810303236e-05,0.000786926,,,CNTNAP3
SARDH,160.1253635,-1.284818824,0.261060875,-4.921529594,8.58704140748193e-07,5.75209799281296e-05,,,SARDH
RFX5,63.48242356,-1.284338206,0.278070642,-4.61874795,3.8606246435385e-06,0.000195343,,,RFX5
TEX15,384.0653914,-1.284122885,0.403768366,-3.18034545,0.001470996,0.022106189,,,TEX15
TSPAN12,71.66404661,-1.284057238,0.36667994,-3.501847515,0.000462044,0.00898148,,,TSPAN12
RP11-248E9.6,36.40174142,-1.283824233,0.33491992,-3.833227457,0.000126473,0.003273441,,,RP11
RP11-358B23.5,279.0635443,-1.282222843,0.299461446,-4.281762683,1.85418670655432e-05,0.000727452,,,RP11
SERPINE3,135.6688471,-1.281427334,0.374767241,-3.41926186,0.000627913,0.01128472,,,SERPINE3
SYNPO2L,120.9858322,-1.280717228,0.37131166,-3.449170511,0.000562312,0.01042354,,,SYNPO2L
CDH7,2315.165908,-1.278845445,0.298179521,-4.288843991,1.79605468354674e-05,0.000708648,,,CDH7
SLC47A1,247.0265749,-1.276269701,0.254275727,-5.019235278,5.18775805082358e-07,3.77675893016794e-05,,,SLC47A1
PCSK5,4473.683454,-1.272783076,0.289945665,-4.389729624,1.13491681313892e-05,0.000483036,,,PCSK5
KANK2,109.4286323,-1.270985467,0.372627264,-3.410876199,0.000647545,0.01156192,,,KANK2
RP1-302D9.2,80.8880152,-1.269877428,0.287833552,-4.411846422,1.0249280489182e-05,0.000446706,,,RP1
TNFRSF19,1086.395278,-1.269516183,0.267384582,-4.74790346,2.05536095602602e-06,0.000118492,,,TNFRSF19
RHOBTB3,467.0915837,-1.264580206,0.316299105,-3.998051806,6.38659748676914e-05,0.001928164,,,RHOBTB3
RP11-567M16.2,2063.556191,-1.263296756,0.309359045,-4.083594058,4.43444684086134e-05,0.001442204,,,RP11
OOSP1,128.1167874,-1.263245221,0.438702129,-2.879505564,0.003982993,0.046127203,,,OOSP1
RORB-AS1,338.6106535,-1.263059645,0.362130476,-3.487857907,0.000486907,0.009379718,,,RORB
Z98941.1,272.2959069,-1.259364232,0.300966446,-4.184400785,2.85919286617435e-05,0.001021468,,,Z98941.1
TRIM67,381.9786017,-1.257937775,0.41304731,-3.045505306,0.002322897,0.031262319,,,TRIM67
VANGL2,209.8686565,-1.253249008,0.423638584,-2.958297603,0.003093433,0.03871553,,,VANGL2
KAL1,696.3740379,-1.252928959,0.306134119,-4.092745243,4.26295996466265e-05,0.001392417,,,KAL1
RP11-486M23.1,58.82241401,-1.252801045,0.308937536,-4.055192061,5.00931259550583e-05,0.001588547,,,RP11
GCNT2,289.1984603,-1.250346317,0.386747395,-3.232979283,0.001225064,0.018999815,,,GCNT2
AC007405.4,217.1086733,-1.250275753,0.23411496,-5.340435108,9.27237643468471e-08,8.78045638367191e-06,,,AC007405.4
MYPN,29.88292582,-1.249731665,0.421391291,-2.965727326,0.003019681,0.038020064,,,MYPN
MYO3A,167.4035108,-1.246721076,0.244317619,-5.102870116,3.34540613780804e-07,2.60334426809821e-05,,,MYO3A
RP11-118M9.3,60.19940037,-1.245577148,0.276740975,-4.500877214,6.76735921352899e-06,0.000317232,,,RP11
CHEK2,98.67344968,-1.243790728,0.319521052,-3.89267224,9.91460612917371e-05,0.002707242,,,CHEK2
NACAP6,72.24375532,-1.242500951,0.409988951,-3.030571794,0.002440911,0.032499367,,,NACAP6
PBXIP1,76.21188264,-1.238430277,0.374460865,-3.307235531,0.000942216,0.015494101,,,PBXIP1
LINC00658,598.7890649,-1.233295348,0.367558146,-3.355374822,0.000792575,0.013542123,,,LINC00658
AF131216.6,216.0693241,-1.232123074,0.222872304,-5.528381272,3.2319904041948e-08,3.62890960669091e-06,,,AF131216.6
RP5-1047A19.6,51.14307596,-1.232083896,0.300201974,-4.104183187,4.05745873060615e-05,0.001343282,,,RP5
COL4A3,49.24195423,-1.230828308,0.30873467,-3.986686395,6.70024935155433e-05,0.002001053,,,COL4A3
AP001604.3,52.4360101,-1.229448981,0.427770388,-2.874086226,0.004051983,0.046696829,,,AP001604.3
FGF18,94.87678393,-1.228100096,0.28866047,-4.254479653,2.09535711302324e-05,0.000807295,,,FGF18
ANKRD18A,1124.506699,-1.228015283,0.26406482,-4.650431222,3.31241700405906e-06,0.000174728,,,ANKRD18A
RAMP3,114.3169587,-1.223893883,0.33275422,-3.678071709,0.000235004,0.005307622,,,RAMP3
CTB-5E10.3,164.4345927,-1.222591665,0.35971639,-3.39876553,0.000676907,0.011946703,,,CTB
CHRM5,102.2180058,-1.221536546,0.350767457,-3.482468292,0.000496814,0.009493013,,,CHRM5
IQGAP2,574.0189651,-1.221485945,0.321424965,-3.800221136,0.000144567,0.003649621,,,IQGAP2
RP11-284F21.8,78.24033062,-1.220886398,0.405600887,-3.010068363,0.002611889,0.034064871,,,RP11
HHLA2,219.4828097,-1.220675632,0.411315231,-2.967737491,0.003000004,0.037876079,,,HHLA2
SLC8B1,397.2047947,-1.217777221,0.20446552,-5.955905032,2.586364949746e-09,4.38733087410511e-07,,,SLC8B1
AC006227.1,67.47760591,-1.215503204,0.36542906,-3.326235752,0.000880274,0.014732143,,,AC006227.1
FOXP2,9441.791352,-1.215325608,0.287810463,-4.22265958,2.41436340921774e-05,0.000892293,,,FOXP2
LINC01317,594.9635807,-1.215188202,0.30587164,-3.972869799,7.10118692646962e-05,0.002092986,,,LINC01317
TRIM66,1349.509479,-1.214359803,0.204278751,-5.944621251,2.77096797659053e-09,4.53726763333528e-07,,,TRIM66
CLCA4,33.63781275,-1.211751336,0.374460121,-3.235995688,0.001212192,0.018841318,,,CLCA4
AC011747.3,92.41075829,-1.211163905,0.365226675,-3.316197822,0.000912512,0.015131409,,,AC011747.3
LINC01320,108.5038902,-1.203085618,0.410587025,-2.930159857,0.003387877,0.041197909,,,LINC01320
ACOT12,105.8653153,-1.202652126,0.349646059,-3.43962729,0.000582516,0.010722201,,,ACOT12
MRAP2,1983.414048,-1.202080782,0.271949654,-4.420232797,9.85946292487853e-06,0.000436166,,,MRAP2
TEX30,237.9962937,-1.199739408,0.326374746,-3.675956621,0.00023696,0.005336461,,,TEX30
WBSCR27,55.85048974,-1.198752044,0.404188719,-2.965822619,0.003018745,0.038020064,,,WBSCR27
PDE9A,927.8166492,-1.197977574,0.416252715,-2.87800543,0.004001983,0.046301642,,,PDE9A
NINL,1028.129003,-1.19621011,0.239813784,-4.988079044,6.09826189014859e-07,4.32815693168483e-05,,,NINL
RP13-1032I1.7,239.7054624,-1.195619701,0.364337414,-3.281627569,0.001032098,0.016634207,,,RP13
METAP1D,2830.139942,-1.195375274,0.34571733,-3.457666624,0.000544875,0.010148193,,,METAP1D
TCEA3,303.8510154,-1.194523794,0.349999355,-3.412931416,0.000642681,0.011506286,,,TCEA3
ECM1P2,141.5854688,-1.191974392,0.220860864,-5.396947061,6.7784377484816e-08,6.7843579187179e-06,,,ECM1P2
RIN2,822.6432996,-1.191350028,0.288756384,-4.125796324,3.69454135373978e-05,0.001257067,,,RIN2
GLI3,182.8255488,-1.189741909,0.310039834,-3.837384033,0.000124352,0.003232103,,,GLI3
FRMPD3,520.9190349,-1.185957096,0.361339232,-3.282115501,0.001030314,0.016616807,,,FRMPD3
CTC-339D2.1,50.48312705,-1.185620228,0.35698065,-3.321245078,0.000896168,0.014943951,,,CTC
DDX4,81.83963162,-1.185373985,0.300207502,-3.948515534,7.86373140232595e-05,0.002257447,,,DDX4
RP11-843P14.2,456.0019417,-1.185246341,0.295943328,-4.004977405,6.20234092707201e-05,0.001882663,,,RP11
IGFBPL1,57.80841603,-1.184372674,0.317526479,-3.729996558,0.000191482,0.004555967,,,IGFBPL1
LGALS1,30.74638397,-1.184114148,0.415747608,-2.848156251,0.004397333,0.049741879,,,LGALS1
HS3ST3A1,137.2445693,-1.182323907,0.199087632,-5.938710978,2.87271793040731e-09,4.63943945760781e-07,,,HS3ST3A1
NKAIN3,4028.968676,-1.181705992,0.306132571,-3.860111937,0.000113335,0.00301958,,,NKAIN3
GGTA1P,99.45999629,-1.179451951,0.40860616,-2.886525132,0.003895216,0.045445476,,,GGTA1P
FRRS1L,309.9022932,-1.175991989,0.378070716,-3.110508008,0.001867658,0.026560625,,,FRRS1L
GRHL2,277.4815263,-1.174536461,0.301759349,-3.892295185,9.93003214364605e-05,0.002707242,,,GRHL2
RP11-79H23.3,163.4692073,-1.174169415,0.319683749,-3.672909304,0.000239805,0.005369756,,,RP11
PTH1R,52.51069058,-1.17302128,0.3172246,-3.697762653,0.000217508,0.004998659,,,PTH1R
AC009260.1,3894.627569,-1.17276041,0.215116479,-5.451746029,4.98776551465653e-08,5.3701608707802e-06,,,AC009260.1
RNF152,712.1815081,-1.172262011,0.324531543,-3.612166631,0.000303649,0.006485279,,,RNF152
LINC00298,1435.555884,-1.171512092,0.267167058,-4.384942136,1.16016613949235e-05,0.000489366,,,LINC00298
IGLON5,417.8260583,-1.169198509,0.19973771,-5.853669331,4.80844200223574e-09,7.1307077969004e-07,,,IGLON5
RP11-547D24.1,28.73640831,-1.16914978,0.397049889,-2.944591634,0.003233812,0.03992149,,,RP11
COL11A1,4099.073993,-1.168862182,0.252588682,-4.627531894,3.7004925731077e-06,0.000190818,,,COL11A1
GRIP1,28075.80807,-1.16848661,0.305704108,-3.822279715,0.000132224,0.003396187,,,GRIP1
TIMP2,1562.869478,-1.166861015,0.403466912,-2.892086017,0.003826932,0.04491549,,,TIMP2
LPA,135.3461564,-1.166550028,0.272201552,-4.285611227,1.82237441581787e-05,0.000716163,,,LPA
OTOF,208.0527213,-1.16544036,0.22226799,-5.243401708,1.57642805106956e-07,1.3716087459841e-05,,,OTOF
COL21A1,2236.346705,-1.16229827,0.389489456,-2.9841585,0.002843594,0.036321294,,,COL21A1
RP11-530C5.1,13.52493246,-1.160956042,0.406619288,-2.855142578,0.004301751,0.049000479,,,RP11
DDX60L,142.4334023,-1.159881656,0.307464043,-3.772413983,0.000161676,0.003987606,,,DDX60L
SMO,55.75602859,-1.158739418,0.313197513,-3.699708229,0.000215847,0.004970183,,,SMO
ZNF98,467.7217513,-1.15416181,0.390335041,-2.956849089,0.003108002,0.038877229,,,ZNF98
KCNK2,1649.564235,-1.152928204,0.395834378,-2.912653035,0.003583726,0.043090374,,,KCNK2
SULF2,1118.841971,-1.152182992,0.384820182,-2.99408151,0.002752724,0.035487413,,,SULF2
MIR3938,330.5846596,-1.151230414,0.330697014,-3.481224099,0.000499128,0.009501023,,,MIR3938
AC016582.2,122.4381813,-1.150618373,0.291943339,-3.941238651,8.10619248835706e-05,0.002299981,,,AC016582.2
RP11-77H9.8,93.54929618,-1.149189967,0.263557797,-4.360295835,1.29886721575805e-05,0.000538242,,,RP11
PTPRM,15859.26728,-1.149057123,0.228421407,-5.030426611,4.89389688692973e-07,3.59480357311265e-05,,,PTPRM
SPINK5,509.1854957,-1.146058102,0.263181674,-4.354627298,1.33293504570697e-05,0.000548971,,,SPINK5
NXPH3,89.57594541,-1.146034467,0.333677216,-3.434560139,0.000593516,0.010853789,,,NXPH3
DYX1C1,433.817226,-1.145206038,0.28547791,-4.011539935,6.03239699742719e-05,0.00184246,,,DYX1C1
ZBED6,1525.764264,-1.144916684,0.324713618,-3.525927523,0.000422002,0.008347647,,,ZBED6
RP1-122P22.2,330.4829213,-1.144589843,0.270877043,-4.225495926,2.38415138443921e-05,0.000883898,,,RP1
ARL4C,681.9738539,-1.14364437,0.316391564,-3.614648747,0.000300755,0.006458565,,,ARL4C
RASSF8,1295.953721,-1.138162443,0.237320112,-4.795895445,1.6194974059021e-06,9.66737451487734e-05,,,RASSF8
RP11-706F1.1,44.0897582,-1.136172192,0.364489241,-3.117162493,0.001826009,0.026173535,,,RP11
LINC01237,54.71264358,-1.135441175,0.350047428,-3.243678101,0.00117997,0.018413313,,,LINC01237
AC099669.1,89.56738445,-1.131050232,0.295903493,-3.822361873,0.00013218,0.003396187,,,AC099669.1
ETV1,1234.269677,-1.130799283,0.246910541,-4.579793468,4.65435302471013e-06,0.000229208,,,ETV1
GLI2,86.12742706,-1.13076682,0.294025763,-3.845808642,0.000120156,0.003161994,,,GLI2
LINC01239,384.6547992,-1.130440098,0.276034854,-4.095280288,4.21657943822261e-05,0.001383126,,,LINC01239
GMPR,276.422109,-1.128679667,0.223652038,-5.046587883,4.49770057467433e-07,3.37742935828809e-05,,,GMPR
GPR158-AS1,208.3603036,-1.121298656,0.218734628,-5.126296948,2.95496422532217e-07,2.33809065331783e-05,,,GPR158
LHFPL3,3725.141824,-1.118453494,0.299202635,-3.73811378,0.000185406,0.004460415,,,LHFPL3
AC013463.2,500.2870604,-1.113859353,0.278111729,-4.005078663,6.1996846478224e-05,0.001882663,,,AC013463.2
ASTN2,39752.65089,-1.113500777,0.186833076,-5.959869646,2.52439220802364e-09,4.3132350632601e-07,,,ASTN2
CNTNAP3B,3911.289249,-1.112471826,0.257497007,-4.320329144,1.55796644150209e-05,0.000623787,,,CNTNAP3B
ADAMTSL1,2104.280208,-1.112112574,0.246612369,-4.509557154,6.49630916423965e-06,0.000306353,,,ADAMTSL1
ISG20,137.2655894,-1.110369364,0.368030841,-3.017055201,0.002552433,0.033524755,,,ISG20
VWA5A,522.9625305,-1.109726931,0.328256202,-3.380673153,0.000723085,0.012601346,,,VWA5A
GCH1,215.7914641,-1.109467783,0.269001017,-4.124399953,3.71702515884847e-05,0.001261061,,,GCH1
AC079154.1,238.0141086,-1.108095202,0.335005469,-3.307692876,0.000940679,0.015489017,,,AC079154.1
AC019117.1,301.2478261,-1.107000843,0.271629184,-4.075412034,4.59329435351009e-05,0.001481604,,,AC019117.1
AP000473.6,88.68925744,-1.104180931,0.370116041,-2.983337139,0.002851237,0.036361225,,,AP000473.6
RP11-65D24.2,326.2442299,-1.103160734,0.318314842,-3.465627698,0.000528995,0.009915087,,,RP11
SMAD5-AS1_2,141.2186012,-1.10278569,0.234725573,-4.698191484,2.62475295186543e-06,0.000145571,,,SMAD5
EIF4EBP2P2,158.7800982,-1.099871133,0.331726317,-3.315598062,0.000914473,0.015131472,,,EIF4EBP2P2
RAB37,1414.049394,-1.099840664,0.324160448,-3.392889756,0.000691595,0.012161868,,,RAB37
SH3RF3-AS1,52.88918559,-1.095360499,0.349977535,-3.129802312,0.00174924,0.025288366,,,SH3RF3
MITF,1582.707879,-1.095256446,0.351271841,-3.11797394,0.001820989,0.026117458,,,MITF
CCDC80,46.21885664,-1.094816654,0.310431206,-3.526760945,0.000420676,0.008328404,,,CCDC80
ABCA1,1317.254513,-1.09037775,0.224090929,-4.865782639,1.14004758718576e-06,7.14925054740775e-05,,,ABCA1
FRMD3,4173.311085,-1.090062382,0.260034677,-4.191988519,2.76519992832471e-05,0.000993912,,,FRMD3
CTD-2552K11.2,1023.922947,-1.089916003,0.318050785,-3.426861535,0.0006106,0.011066368,,,CTD
RP11-959F10.5,79.67601146,-1.089725122,0.321945292,-3.384814592,0.000712263,0.012458454,,,RP11
SLC9A2,413.9632126,-1.089707453,0.321819922,-3.386078295,0.000708992,0.012410773,,,SLC9A2
PITPNC1,6530.859528,-1.087645754,0.228297153,-4.76416697,1.89635432338119e-06,0.000110133,,,PITPNC1
PKD1L2,113.1915534,-1.087418024,0.365003447,-2.979199332,0.002890027,0.036755096,,,PKD1L2
RP11-777B9.1,108.398973,-1.083615484,0.331882888,-3.265053796,0.001094433,0.017436238,,,RP11
PTPRZ1,1990.573526,-1.081563968,0.263228147,-4.10884618,3.97640805030752e-05,0.001326163,,,PTPRZ1
TMEM72-AS1,2259.286521,-1.081201613,0.156601614,-6.90415368,5.05036033190594e-12,1.89019755977794e-09,,,TMEM72
CHRNA2,207.0051993,-1.080059162,0.320911312,-3.365600153,0.000763773,0.013154866,,,CHRNA2
ITGB5,453.7761566,-1.075879409,0.330115412,-3.259100816,0.001117659,0.017734382,,,ITGB5
TMTC2,8022.414571,-1.072900249,0.257838076,-4.161139678,3.16663322156316e-05,0.001111102,,,TMTC2
ADAMTS17,5069.609379,-1.072391395,0.218479195,-4.908437149,9.1805040455387e-07,6.04656717569154e-05,,,ADAMTS17
ERICH2,198.7437902,-1.072085859,0.237291948,-4.518003524,6.24254456828806e-06,0.000294976,,,ERICH2
PYGO1,530.9743557,-1.070442546,0.350268859,-3.056059705,0.002242666,0.030459397,,,PYGO1
LRMP,1506.19947,-1.069221301,0.243335223,-4.394026022,1.11270487916284e-05,0.000475858,,,LRMP
C4BPAP2,56.37111855,-1.066553819,0.310814745,-3.431477548,0.000600303,0.010904885,,,C4BPAP2
TDRD1,74.78080159,-1.063226362,0.340741595,-3.120330411,0.001806483,0.02600431,,,TDRD1
RP11-67H24.1,150.3001053,-1.062482268,0.240696689,-4.414195608,1.01386257319289e-05,0.000443523,,,RP11
CLDN4,133.4952862,-1.060325522,0.343368115,-3.088013928,0.00201499,0.028046904,,,CLDN4
TCTEX1D1,508.969551,-1.059788839,0.350576332,-3.022990269,0.002502903,0.033062156,,,TCTEX1D1
LINC00173,160.8943647,-1.057597923,0.272881413,-3.875668592,0.000106332,0.002852343,,,LINC00173
BACH1,1200.107584,-1.056908892,0.253141983,-4.175162415,2.97773529755149e-05,0.001060605,,,BACH1
FNBP1L,4375.724062,-1.055003154,0.304258716,-3.467454176,0.000525413,0.009871491,,,FNBP1L
CGN,126.8910886,-1.053439688,0.283930175,-3.710206875,0.00020709,0.00484365,,,CGN
TOX3,2152.332447,-1.052964094,0.324576055,-3.244121302,0.001178136,0.018396861,,,TOX3
ATP11C,503.0221675,-1.052936129,0.281865372,-3.735599445,0.000187269,0.004487404,,,ATP11C
MAP3K8,165.8800366,-1.050982332,0.302915633,-3.469554613,0.000521322,0.009825942,,,MAP3K8
HAR1B,75.54647324,-1.050561553,0.336499383,-3.12203114,0.001796079,0.025917843,,,HAR1B
RP11-632K5.3,124.2780999,-1.049974734,0.279748397,-3.753282391,0.000174534,0.004246406,,,RP11
RP11-169I9.2,99.43650856,-1.048346917,0.278170477,-3.768720994,0.000164086,0.004031857,,,RP11
FGFR1,1241.595065,-1.047883565,0.264409568,-3.963107586,7.39804216142522e-05,0.002160242,,,FGFR1
LEMD1,133.9152234,-1.046664922,0.23029402,-4.544907088,5.49594915208185e-06,0.000264528,,,LEMD1
CACNG4,941.657884,-1.046581277,0.312967405,-3.344058387,0.000825624,0.014015391,,,CACNG4
GHR,7961.05477,-1.04497081,0.198740733,-5.257959936,1.45662241876295e-07,1.29119172977488e-05,,,GHR
