,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,Reformatted Genes
SOX6,4600.389025,-2.921177538,0.405680361,-7.200687584,5.99096744456512e-13,2.7165581033731e-10,,,SOX6
RP11-218C23.1,106.3187953,-2.915873927,0.396393044,-7.356016883,1.8947906125895e-13,9.92828174538839e-11,,,RP11
RPE65,21.64882384,-2.914273179,0.793348435,-3.673383664,0.00023936,0.005369756,,,RPE65
GPR149,604.1005093,-2.899655273,0.487080663,-5.953131568,2.63059650786008e-09,4.42380305818535e-07,,,GPR149
AC006380.3,10.89555535,-2.894992774,0.897968067,-3.223937333,0.001264411,0.019549862,,,AC006380.3
VAX1,102.3137727,-2.892328261,0.657675731,-4.397802936,1.0935219607422e-05,0.000470214,,,VAX1
TMEM133,9.127654228,-2.892232056,0.835133752,-3.463196223,0.000533799,0.009989243,,,TMEM133
HPRTP4,5.079533581,-2.891365095,0.852243167,-3.392652716,0.000692193,0.012161868,,,HPRTP4
RP11-661A12.5,9.831421279,-2.881556476,0.759157459,-3.795729651,0.00014721,0.003704441,,,RP11
GAD2,3863.608797,-2.871337545,0.677469031,-4.238330333,2.25188268842913e-05,0.000850916,,,GAD2
RP11-545N8.3,49.19289646,-2.866311155,0.753324615,-3.804881851,0.000141872,0.003585421,,,RP11
RUNX2,2114.789267,-2.854275804,0.390033024,-7.318036246,2.51625907915843e-13,1.21083413933626e-10,,,RUNX2
LINC01152,8.844979615,-2.835496152,0.760400088,-3.728952951,0.000192277,0.004570263,,,LINC01152
KIF18B,4.836176446,-2.821152259,0.975915989,-2.890773684,0.003842948,0.045036213,,,KIF18B
LINC01305,7.979783393,-2.818293602,0.761486818,-3.701040566,0.000214717,0.004966007,,,LINC01305
HGF,311.1547965,-2.815156937,0.458409016,-6.141146527,8.19279650357748e-10,1.5965119732054e-07,,,HGF
C1QL1,42.02657854,-2.81032895,0.519451287,-5.410187672,6.29587358277891e-08,6.39872427622172e-06,,,C1QL1
OR5M6P,56.87224349,-2.796684574,0.771748205,-3.623830357,0.000290272,0.006290739,,,OR5M6P
LHX6,415.9333781,-2.782781543,0.350547923,-7.938376913,2.0484405794299e-15,1.85769924701452e-12,,,LHX6
RP11-393B14.2,9.63762291,-2.770222755,0.695449054,-3.98335829,6.79481955678692e-05,0.002017822,,,RP11
RP11-125A15.3,9.021406946,-2.765188784,0.836752068,-3.304669195,0.000950886,0.01557552,,,RP11
ATP12A,14.7288007,-2.764758235,0.70517323,-3.920679515,8.82996302510811e-05,0.002461636,,,ATP12A
PLCXD2,16.06315644,-2.750651092,0.706568806,-3.892969895,9.90244448167333e-05,0.002707242,,,PLCXD2
AC017002.1,26.95253888,-2.742333744,0.764604322,-3.586605079,0.000335011,0.007009074,,,AC017002.1
RP11-366H4.3,55.98889494,-2.72223664,0.495546559,-5.49340237,3.94263104658327e-08,4.34407931997135e-06,,,RP11
RP11-5P15.1,11.92497651,-2.692889646,0.806239518,-3.340061591,0.000837598,0.014167666,,,RP11
RNF144B,309.0613134,-2.668150481,0.494410438,-5.396630567,6.79040022400197e-08,6.7843579187179e-06,,,RNF144B
FLT3,521.1741961,-2.664150481,0.518440049,-5.13878217,2.76524723972278e-07,2.21178129300144e-05,,,FLT3
VN1R5,8.873083912,-2.663003421,0.925372054,-2.87776512,0.004005032,0.046310226,,,VN1R5
MAF,453.487688,-2.659846852,0.477808311,-5.566765562,2.59511162442816e-08,2.97039499963066e-06,,,MAF
RP11-686D16.1,21.49787946,-2.653198734,0.514824022,-5.15360321,2.55528331133096e-07,2.08481056048002e-05,,,RP11
CH507-236L23.3,16.60898812,-2.624849615,0.572752678,-4.582867466,4.58642751952274e-06,0.000227192,,,CH507
MYO5B,1507.410744,-2.616945399,0.385412513,-6.78998556,1.12144768555201e-11,3.8886198496516e-09,,,MYO5B
NXPH1,12466.60697,-2.611593978,0.688717562,-3.79196658,0.000149459,0.00373711,,,NXPH1
ADGRG6,130.8093917,-2.597142352,0.48522423,-5.352458082,8.67674073957902e-08,8.31662072758267e-06,,,ADGRG6
SMG1P6,16.78310375,-2.594792005,0.600062412,-4.324203541,1.53083910625967e-05,0.000614917,,,SMG1P6
CRHBP,181.0328373,-2.592633947,0.418682522,-6.192362503,5.92690462731038e-10,1.21522160180306e-07,,,CRHBP
SELPLG,18.95584265,-2.587715021,0.701730517,-3.687619333,0.000226362,0.005146951,,,SELPLG
COX6CP5,8.953119494,-2.580043977,0.776284406,-3.32358084,0.000888697,0.01485087,,,COX6CP5
RN7SL623P,36.29433765,-2.577908622,0.740473888,-3.48143083,0.000498743,0.009501023,,,RN7SL623P
RP1-200K18.1,7.303051763,-2.570914285,0.800402617,-3.212026335,0.001318023,0.020206543,,,RP1
RP11-1094M14.14,11.82611379,-2.562950219,0.453517448,-5.651271478,1.592653213252e-08,2.07476077984911e-06,,,RP11
AF064860.7,7.072840004,-2.562592787,0.873665748,-2.933150113,0.003355416,0.040926625,,,AF064860.7
LYPD6,727.3195456,-2.544855439,0.532748403,-4.776842925,1.78068758847747e-06,0.000104967,,,LYPD6
FAM180A,19.17421067,-2.508910792,0.830941303,-3.019359832,0.002533095,0.033367509,,,FAM180A
RP5-908M14.5,5.951484886,-2.505184263,0.878294661,-2.852327782,0.004340032,0.049269918,,,RP5
C18orf42,73.84617718,-2.492189848,0.446789794,-5.577991897,2.43310986322407e-08,2.85424365497315e-06,,,C18orf42
BMP7,69.18672202,-2.479979676,0.403071513,-6.152703911,7.61729372307131e-10,1.5093123419857e-07,,,BMP7
KRT17,12.68827623,-2.476915943,0.653286677,-3.791468632,0.000149759,0.003740645,,,KRT17
CTC-439O9.3,25.11135971,-2.473422101,0.531104051,-4.657132811,3.2064360946159e-06,0.000171439,,,CTC
SNRPCP13,10.78194797,-2.463182397,0.620281839,-3.971069672,7.15506488931563e-05,0.002103607,,,SNRPCP13
RP11-245J24.1,6.897242868,-2.46311163,0.783651972,-3.143119289,0.001671577,0.024450443,,,RP11
AP000251.3,10.93118323,-2.460598464,0.73393971,-3.352589363,0.000800594,0.013641158,,,AP000251.3
SULF1,1945.357747,-2.458880142,0.360370636,-6.823197839,8.90359027394323e-12,3.13339932939265e-09,,,SULF1
SOX11,9.215922071,-2.443088783,0.657851531,-3.713738843,0.00020422,0.004786573,,,SOX11
NR1H4,11.94887191,-2.437851769,0.58656703,-4.156135006,3.23676603227367e-05,0.001130662,,,NR1H4
RP11-270M14.4,19.42825444,-2.433037061,0.563489882,-4.317800794,1.575915626265e-05,0.000629805,,,RP11
C2orf71,15.92423332,-2.424012581,0.474429988,-5.109315694,3.23327717867324e-07,2.54762878811117e-05,,,C2orf71
FRMPD1,170.625718,-2.421666384,0.382267567,-6.335003531,2.37335838603104e-10,5.59614173842258e-08,,,FRMPD1
AC008163.4,20.5158649,-2.420660846,0.686109122,-3.528098909,0.000418556,0.008300358,,,AC008163.4
RP11-488I20.7,114.5329715,-2.416066506,0.504080008,-4.79302188,1.64287699228356e-06,9.78217085885201e-05,,,RP11
CTD-2309O5.3,7.615338493,-2.409429287,0.749451851,-3.214922057,0.001304799,0.02004291,,,CTD
MYO3B,207.6339942,-2.399544421,0.448706657,-5.347690706,8.90835272215168e-08,8.50405056014634e-06,,,MYO3B
AC096640.1,155.8517311,-2.395675577,0.30729899,-7.795910994,6.39454495836024e-15,5.02589918577254e-12,,,AC096640.1
SLC6A1,3862.733956,-2.393344364,0.435265153,-5.498589421,3.82841383842986e-08,4.23803614536796e-06,,,SLC6A1
RP11-693J15.5,18.3978713,-2.383080359,0.690989868,-3.448792042,0.0005631,0.01042996,,,RP11
VAV2,1294.279532,-2.367732504,0.380539515,-6.222041097,4.90728444973423e-10,1.04242216252508e-07,,,VAV2
AC007463.2,44.1839738,-2.367335053,0.793927109,-2.981804029,0.002865554,0.036483201,,,AC007463.2
RN7SL432P,21.71250876,-2.364655119,0.758159489,-3.118941533,0.00181502,0.026079433,,,RN7SL432P
ASCL1,33.21111993,-2.359744883,0.48229324,-4.892759602,9.94318308813833e-07,6.45868633705823e-05,,,ASCL1
ANO1,177.5177188,-2.347858765,0.576837135,-4.070228184,4.69671119480673e-05,0.00150877,,,ANO1
GIMAP4,14.06520371,-2.343943071,0.574565918,-4.079502455,4.51321932665762e-05,0.00145977,,,GIMAP4
SHH,49.39793876,-2.343485751,0.416184888,-5.630876606,1.79295973319142e-08,2.28519986750921e-06,,,SHH
RP11-1079K10.5,89.83973728,-2.335104156,0.463358926,-5.03951478,4.66713587443611e-07,3.47149516666653e-05,,,RP11
GADL1,22.74060259,-2.332733422,0.469394493,-4.969665082,6.70686479980578e-07,4.66493112432509e-05,,,GADL1
RPL21P43,6.684098436,-2.332398753,0.734524553,-3.175385689,0.001496375,0.022416149,,,RPL21P43
LINC00475,26.90699493,-2.331711675,0.58838283,-3.962915904,7.40398678369735e-05,0.002160242,,,LINC00475
RP11-317G22.2,34.42954158,-2.32876864,0.478288939,-4.868957755,1.12188385680615e-06,7.07296776995513e-05,,,RP11
CTD-2135J3.3,513.4083017,-2.327688876,0.222596669,-10.45697984,1.36125596260361e-25,4.5852934774615e-22,,,CTD
RP11-322I2.1,136.6638895,-2.326542578,0.498998044,-4.662428249,3.12500054949817e-06,0.000168614,,,RP11
SKINTL,394.8362411,-2.320133923,0.394567008,-5.88020254,4.09764768728615e-09,6.27392433886495e-07,,,SKINTL
CARD16,42.39948733,-2.317009313,0.557465317,-4.156329091,3.23401894274438e-05,0.001130662,,,CARD16
IGF1,987.0977013,-2.304826668,0.696215684,-3.310506673,0.000931272,0.015366319,,,IGF1
BSPH1,15.58635445,-2.302426272,0.766726006,-3.00293228,0.002673919,0.034699142,,,BSPH1
ADGRF2,9.918600094,-2.302381107,0.558607324,-4.121645042,3.76176510530394e-05,0.001272578,,,ADGRF2
CALML3-AS1,38.08021258,-2.300049575,0.546196106,-4.21103254,2.54206122909472e-05,0.000932181,,,CALML3
IGLV3-15,8.09237741,-2.297927283,0.608079002,-3.778994629,0.000157463,0.003895924,,,IGLV3
SLITRK6,22.55714182,-2.290838332,0.801387705,-2.858589317,0.004255293,0.048588645,,,SLITRK6
EYA4,1448.278825,-2.29026276,0.341317638,-6.710062719,1.94540778771408e-11,6.55296717521576e-09,,,EYA4
LRAT,74.72197632,-2.287381909,0.329118184,-6.950032005,3.6520335075208e-12,1.38889190441666e-09,,,LRAT
AC097499.1,13.01658197,-2.281919101,0.747725746,-3.05181293,0.002274638,0.030753264,,,AC097499.1
URAD,4.709137093,-2.276023969,0.734422546,-3.099066036,0.001941317,0.02732357,,,URAD
AC096669.1,68.4995993,-2.273273642,0.474574421,-4.790130995,1.66672467516591e-06,9.89916904678512e-05,,,AC096669.1
RP11-429P3.5,17.06221707,-2.272412482,0.661574341,-3.434855831,0.000592869,0.010853464,,,RP11
POSTN,270.5364897,-2.271853208,0.50145497,-4.530522863,5.88378865334272e-06,0.000279705,,,POSTN
BEST3,103.8469294,-2.270252135,0.548121702,-4.141876021,3.44476545543124e-05,0.001192718,,,BEST3
SYTL5,846.4244145,-2.257588115,0.421627056,-5.354466905,8.58090238379156e-08,8.29789909027646e-06,,,SYTL5
FAM46C,17.2633337,-2.249675119,0.646243032,-3.481159577,0.000499248,0.009501023,,,FAM46C
BRWD1P2,19.39935305,-2.243785047,0.628846623,-3.568095885,0.000359585,0.007372742,,,BRWD1P2
AL008721.1,33.98828656,-2.235313242,0.47850986,-4.671404772,2.99146780615266e-06,0.000162151,,,AL008721.1
SP9,36.07366475,-2.221105137,0.675928236,-3.28600733,0.001016184,0.016437202,,,SP9
RPEP6,5.962375362,-2.210421372,0.721316176,-3.06442784,0.002180868,0.029862184,,,RPEP6
NXPH2,1408.07168,-2.20955234,0.635808879,-3.475183209,0.000510505,0.009668423,,,NXPH2
TMEM255A,180.2147988,-2.208134743,0.462638932,-4.772911642,1.81581467367844e-06,0.000105978,,,TMEM255A
RP11-91H12.4,6.270955526,-2.203820539,0.713509392,-3.088705717,0.002010305,0.028014759,,,RP11
WLS,413.0055772,-2.195834603,0.383203686,-5.7302022,1.00310988923675e-08,1.3863674612845e-06,,,WLS
RP11-438L7.3,38.7742797,-2.193701686,0.550277221,-3.986539148,6.70440700063393e-05,0.002001053,,,RP11
RENBP,7.437875754,-2.192368983,0.644729638,-3.400447031,0.000672758,0.011896439,,,RENBP
PRTG,79.283348,-2.19193291,0.538739213,-4.068634427,4.72894752442254e-05,0.001514998,,,PRTG
AC062021.1,66.44770305,-2.187929531,0.401516393,-5.449166137,5.06065243725989e-08,5.38105477456373e-06,,,AC062021.1
AP002954.6,20.33868414,-2.184209422,0.526793552,-4.146234166,3.3798817137893e-05,0.0011737,,,AP002954.6
PKP2,640.4427935,-2.178212665,0.63403742,-3.435463896,0.00059154,0.010837551,,,PKP2
SIGLEC29P,7.216767747,-2.167488518,0.597262669,-3.629037323,0.00028448,0.006181748,,,SIGLEC29P
RP11-313H3.1,16.01333427,-2.16674056,0.580196337,-3.734495416,0.000188092,0.004502558,,,RP11
AC004980.8,88.61476848,-2.166658189,0.389021252,-5.569511112,2.55455098190324e-08,2.95263517658316e-06,,,AC004980.8
C20orf166-AS1,11.50406489,-2.163896518,0.654819097,-3.304571487,0.000951217,0.01557552,,,C20orf166
LINC00670,34.57225395,-2.163096964,0.473368127,-4.569587263,4.88685660378124e-06,0.000239061,,,LINC00670
OPN5,407.9727385,-2.160239939,0.427797664,-5.049676805,4.42558167949943e-07,3.34457661605503e-05,,,OPN5
RP11-325N19.3,21.90741354,-2.156085128,0.757032939,-2.848073071,0.004398482,0.049741879,,,RP11
GRPR,87.42471953,-2.155122074,0.426409563,-5.054112901,4.32395782443645e-07,3.28885811427055e-05,,,GRPR
LINC01412,24.42417805,-2.14662376,0.524499625,-4.092707901,4.26364676377925e-05,0.001392417,,,LINC01412
SLC25A48,135.5329709,-2.139916971,0.530915484,-4.030616992,5.56306308032678e-05,0.001723672,,,SLC25A48
SOX13,185.9832559,-2.134511855,0.378136167,-5.64482333,1.65350956405282e-08,2.1422034071869e-06,,,SOX13
