,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Reformatted Genes,
STARD6,40.32828566,-1.922763092,0.380180061,-5.057506395,4.25E-07,3.85E-05,,STARD6,
CMTM8,978.4512831,-1.927346004,0.461887949,-4.172756637,3.01E-05,0.001203894,,CMTM8,
EGFEM1P,6030.382004,-1.931826363,0.279719228,-6.906305205,4.97E-12,2.09E-09,,EGFEM1P,
HPSE,63.34766459,-1.936988559,0.56694662,-3.416527218,0.000634253,0.012930805,,HPSE,
GALR1,123.133301,-1.938240185,0.385348418,-5.029838174,4.91E-07,4.29E-05,,GALR1,
RP11-152O14.4,326.2696396,-1.939706924,0.591326164,-3.280265682,0.001037094,0.018898066,,RP11,
IGSF5,99.97476314,-1.944947404,0.417297156,-4.660821135,3.15E-06,0.0001904,,IGSF5,
RP11-167N4.4,28.93156882,-1.944960678,0.585888586,-3.319676684,0.000901218,0.016796351,,RP11,
AC007277.3,77.66281189,-1.947787483,0.544799701,-3.575235961,0.000349912,0.008171077,,AC007277.3,
CA2,216.771747,-1.948488278,0.497188412,-3.919013863,8.89E-05,0.002857735,,CA2,
CTAGE8,8411.373388,-1.955338637,0.302873097,-6.455966729,1.08E-10,3.40E-08,,CTAGE8,
RP11-486M23.2,45.93289252,-1.955630552,0.56075718,-3.487481964,0.000487592,0.010549911,,RP11,
CD200R1L,25.83304306,-1.961593374,0.613199311,-3.198949081,0.001379295,0.023485932,,CD200R1L,
EGFL6,27.34928972,-1.965180099,0.57449374,-3.420716295,0.000624564,0.012786777,,EGFL6,
SLC32A1,146.9646356,-1.966841301,0.584565888,-3.364618671,0.000766495,0.014999294,,SLC32A1,
KIAA1211,4456.335441,-1.967485113,0.416973305,-4.718491786,2.38E-06,0.000149965,,KIAA1211,
KANK4,132.5100302,-1.971319493,0.450895874,-4.372006064,1.23E-05,0.00058926,,KANK4,
TNIP3,48.43158759,-1.972851589,0.514852826,-3.83187484,0.00012717,0.003770277,,TNIP3,
FBN2,625.391364,-1.977865434,0.327606288,-6.037324401,1.57E-09,3.41E-07,,FBN2,
EDNRA,260.7336072,-1.980773368,0.384714055,-5.148689893,2.62E-07,2.56E-05,,EDNRA,
CUL1P1,33.48777694,-1.980799132,0.542313004,-3.65250163,0.000259698,0.006602276,,CUL1P1,
RP11-58K22.5,21.18237545,-1.983355461,0.532394887,-3.725346563,0.000195047,0.005268217,,RP11,
SYNDIG1L,128.8156821,-1.984216781,0.335287804,-5.917950948,3.26E-09,6.40E-07,,SYNDIG1L,
GIF,202.1143899,-1.984983647,0.285068858,-6.963172553,3.33E-12,1.45E-09,,GIF,
ITGA8,2802.729636,-1.994622241,0.536122698,-3.720458486,0.000198861,0.005347529,,ITGA8,
CTC-527H23.4,17.48518777,-1.996869747,0.614213819,-3.251098697,0.001149599,0.020354426,,CTC,
RP11-10A14.5,45.19437499,-2.006696096,0.401675226,-4.995817435,5.86E-07,4.94E-05,,RP11,
WIF1,299.0644558,-2.010988153,0.459717833,-4.374396659,1.22E-05,0.000585139,,WIF1,
PLCXD3,4939.995361,-2.016902176,0.41154736,-4.900777827,9.55E-07,7.27E-05,,PLCXD3,
GRIK1,9605.136226,-2.018663284,0.473662163,-4.261820857,2.03E-05,0.000890097,,GRIK1,
ABCA12,124.3074901,-2.020977156,0.35297379,-5.725572874,1.03E-08,1.72E-06,,ABCA12,
SLC40A1,41.62863897,-2.021762614,0.638136245,-3.168230343,0.0015337,0.025436026,,SLC40A1,
EHF,12.40569244,-2.024140517,0.66038265,-3.065102509,0.002175954,0.03258314,,EHF,
PDGFRA,39.46722348,-2.025175807,0.370141012,-5.471362913,4.47E-08,5.64E-06,,PDGFRA,
ZNF286B,53.69709792,-2.025194508,0.668872247,-3.027774762,0.002463616,0.035769419,,ZNF286B,
LINC01412,24.42417805,-2.02925564,0.58286929,-3.481493494,0.000498626,0.010759985,,LINC01412,
VWA2,297.8868255,-2.031945477,0.407192544,-4.990134291,6.03E-07,5.03E-05,,VWA2,
RP13-512J5.1,101.9894743,-2.036103896,0.485940481,-4.190027327,2.79E-05,0.001145927,,RP13,
BRWD1P2,19.39935305,-2.036394518,0.616226368,-3.304620871,0.00095105,0.017593334,,BRWD1P2,
MME,225.4656713,-2.047659286,0.343642942,-5.958682794,2.54E-09,5.21E-07,,MME,
CU104787.1,25.17459255,-2.048179684,0.692894442,-2.955976494,0.003116808,0.042421678,,CU104787.1,
CCDC68,257.3579063,-2.04841171,0.289198427,-7.083066567,1.41E-12,6.61E-10,,CCDC68,
GNG12-AS1,1758.482272,-2.049804906,0.391925139,-5.230092946,1.69E-07,1.72E-05,,GNG12,
LINC01162,47.08710466,-2.060517359,0.322504687,-6.389108253,1.67E-10,5.02E-08,,LINC01162,
RAB3B,930.8563792,-2.065947005,0.35320182,-5.849196934,4.94E-09,9.12E-07,,RAB3B,
CPED1,1081.754475,-2.068583162,0.296155189,-6.984794598,2.85E-12,1.26E-09,,CPED1,
ADGRF2,9.918600094,-2.073108192,0.619824779,-3.344668141,0.000823811,0.015766302,,ADGRF2,
ALK,7902.414866,-2.077427409,0.277753875,-7.47938226,7.47E-14,5.51E-11,,ALK,
