,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,Reformatted Genes,
MAF,453.487688,-2.654636905,0.474700417,-5.592236308,2.24E-08,3.26E-06,,MAF,
RP11-686D16.1,21.49787946,-2.660165056,0.500630655,-5.313627983,1.07E-07,1.20E-05,,RP11,
FLT3,521.1741961,-2.665377258,0.512362395,-5.202132879,1.97E-07,1.98E-05,,FLT3,
RNF144B,309.0613134,-2.668016135,0.487442837,-5.473495415,4.41E-08,5.60E-06,,RNF144B,
LINC01305,7.979783393,-2.67530339,0.717371984,-3.729311219,0.000192004,0.005197545,,LINC01305,
COX6CP5,8.953119494,-2.698162915,0.834528403,-3.233158879,0.001224295,0.021335828,,COX6CP5,
ATP12A,14.7288007,-2.716715859,0.682236199,-3.982075218,6.83E-05,0.002334343,,ATP12A,
RP11-5P15.1,11.92497651,-2.734772261,0.790172393,-3.460981789,0.000538209,0.011412003,,RP11,
LINC01152,8.844979615,-2.758176361,0.744880256,-3.702845308,0.000213195,0.005639595,,LINC01152,
RP11-218C23.1,106.3187953,-2.769070588,0.446074968,-6.207635007,5.38E-10,1.34E-07,,RP11,
LHX6,415.9333781,-2.779861076,0.372431449,-7.464087918,8.39E-14,6.01E-11,,LHX6,
AC017002.1,26.95253888,-2.786156689,0.768862735,-3.623737455,0.000290376,0.007160364,,AC017002.1,
RP11-125A15.3,9.021406946,-2.78628505,0.813466132,-3.425201049,0.000614345,0.012630614,,RP11,
CDCA7,46.82232218,-2.815678801,0.601693034,-4.679593481,2.87E-06,0.000176401,,CDCA7,
C1QL1,42.02657854,-2.816351435,0.506244786,-5.563220626,2.65E-08,3.75E-06,,C1QL1,
RP11-120M18.2,21.9162478,-2.821502241,0.697772464,-4.043584963,5.26E-05,0.001905602,,RP11,
KIF18B,4.836176446,-2.82900134,0.93398867,-3.0289461,0.002454085,0.035652274,,KIF18B,
RUNX2,2114.789267,-2.830019535,0.394627079,-7.171376933,7.42E-13,3.69E-10,,RUNX2,
HGF,311.1547965,-2.831947256,0.454718927,-6.227907153,4.73E-10,1.20E-07,,HGF,
RP11-545N8.3,49.19289646,-2.848029586,0.739128016,-3.85322911,0.00011657,0.00355,,RP11,
GAD2,3863.608797,-2.859410206,0.672172548,-4.253982425,2.10E-05,0.000915255,,GAD2,
RP11-661A12.5,9.831421279,-2.874089187,0.767477084,-3.744853425,0.000180499,0.004943405,,RP11,
ISCUP1,20.81993391,-2.878155013,0.664979643,-4.328185143,1.50E-05,0.000704386,,ISCUP1,
SLC17A8,71.39752581,-2.89336833,0.459630529,-6.294987279,3.07E-10,8.42E-08,,SLC17A8,
RPE65,21.64882384,-2.896396028,0.768745338,-3.76769248,0.000164763,0.004619255,,RPE65,
TMEM133,9.127654228,-2.902250888,0.810733466,-3.579784243,0.000343878,0.008065456,,TMEM133,
GPR149,604.1005093,-2.903569669,0.484236815,-5.996177032,2.02E-09,4.24E-07,,GPR149,
HPRTP4,5.079533581,-2.906679825,0.827747081,-3.511555513,0.000445492,0.00989383,,HPRTP4,
SOX6,4600.389025,-2.919669905,0.401004831,-7.280884622,3.32E-13,1.84E-10,,SOX6,
VAX1,102.3137727,-2.924389295,0.652300758,-4.483191622,7.35E-06,0.000388199,,VAX1,
RP11-393B14.2,9.63762291,-2.9504404,0.737582586,-4.000149211,6.33E-05,0.002193798,,RP11,
AC096669.3,14.14209056,-2.963552852,0.672368893,-4.407629328,1.05E-05,0.000516457,,AC096669.3,
PROK2,3.918287115,-2.987552991,0.99735127,-2.995487228,0.002740068,0.03858744,,PROK2,
ARX,240.6775891,-2.994973526,0.51769071,-5.78525646,7.24E-09,1.28E-06,,ARX,
RP11-27M5.1,8.670292679,-3.000845068,0.697141577,-4.30449878,1.67E-05,0.000766623,,RP11,
KRT32,8.122459905,-3.016371706,0.889770698,-3.390055113,0.000698786,0.014004232,,KRT32,
RP11-214N1.1,9.849869361,-3.027615617,0.95072141,-3.184545531,0.001449815,0.024393538,,RP11,
IL9,24.19861592,-3.036521096,0.548233181,-5.53874009,3.05E-08,4.22E-06,,IL9,
MAFB,83.14006223,-3.056358379,0.584908661,-5.225360096,1.74E-07,1.76E-05,,MAFB,
TRIM21,17.22099981,-3.066842155,0.640823267,-4.785784653,1.70E-06,0.000117884,,TRIM21,
RP1-191L6.2,10.73977984,-3.073940319,0.730239183,-4.209497918,2.56E-05,0.001067712,,RP1,
AC006380.3,10.89555535,-3.091045989,0.891228835,-3.468296656,0.000523769,0.01116411,,AC006380.3,
RP11-17M15.1,3.646709073,-3.112637747,1.019341566,-3.053576791,0.002261308,0.033551922,,RP11,
RP3-359N14.1,4.310695245,-3.120116358,1.021698782,-3.0538515,0.002259239,0.033541643,,RP3,
CYP19A1,10.63466038,-3.13773823,0.772030784,-4.064265691,4.82E-05,0.001775953,,CYP19A1,
CRH,27.98762994,-3.142713866,0.815684986,-3.852852412,0.00011675,0.003551029,,CRH,
KIT,925.2455659,-3.171950816,0.668250739,-4.746647674,2.07E-06,0.000135448,,KIT,
CTC-327F10.5,10.92910009,-3.196042245,0.941364517,-3.395116544,0.000685994,0.013812289,,CTC,
TBC1D21,6.700756747,-3.233891131,0.868558317,-3.723286124,0.000196646,0.005293809,,TBC1D21,
EEF1E1P1,3.047466201,-3.235939213,0.977713885,-3.309699558,0.000933962,0.017316672,,EEF1E1P1,
RP11-456H18.2,5.325172833,-3.245751626,1.077215634,-3.013093687,0.002585991,0.03701674,,RP11,
LINC01035,55.54377429,-3.24995258,0.58296752,-5.574843311,2.48E-08,3.55E-06,,LINC01035,
SLC6A2,8.325580567,-3.263366421,0.869650599,-3.752502929,0.000175078,0.004825136,,SLC6A2,
RP3-332B22.1,4.693746731,-3.322878088,0.99063638,-3.354286349,0.0007957,0.015373222,,RP3,
FOXO6,4.969578538,-3.332822916,0.995577085,-3.347629196,0.00081506,0.015647993,,FOXO6,
RP11-7M10.2,740.1748683,-3.364716732,0.461941212,-7.283863491,3.24E-13,1.84E-10,,RP11,
SDSL,13.96421679,-3.366705677,0.85964856,-3.916374474,8.99E-05,0.002881585,,SDSL,
AC007620.3,4.050941068,-3.373900882,0.9778671,-3.450265257,0.000560036,0.011752073,,AC007620.3,
HAPLN1,168.9440185,-3.394381628,0.447981064,-7.577064976,3.53E-14,2.87E-11,,HAPLN1,
MIR4436A,2.633799575,-3.443111319,1.185434555,-2.904514049,0.003678237,0.048308834,,MIR4436A,
LRRC38,90.36939907,-3.465475545,0.552043591,-6.27753968,3.44E-10,9.11E-08,,LRRC38,
RP11-33I11.3,4.444077657,-3.467139246,1.106556796,-3.133268222,0.001728714,0.027759526,,RP11,
NPM1P52,5.410636462,-3.524404453,0.915941989,-3.847846801,0.000119161,0.003597408,,NPM1P52,
RP1,2.854159087,-3.533558157,1.215300199,-2.907559926,0.003642605,0.047918357,,RP1,
CTD-2143L24.1,4.687970322,-3.558511397,0.960089373,-3.706437647,0.000210195,0.005592671,,CTD,
F2R,79.11475075,-3.572544467,0.637804677,-5.601314311,2.13E-08,3.14E-06,,F2R,
PRAMEF20,3.896779675,-3.639717987,1.092150139,-3.332616879,0.000860333,0.016198624,,PRAMEF20,
LINC00943,5.26870551,-3.641267114,1.125060801,-3.236506961,0.001210023,0.021162803,,LINC00943,
RP11-351J23.1,4.951904734,-3.671581709,1.262228824,-2.908808324,0.003628092,0.047779033,,RP11,
RP11-644F5.10,7.567310432,-3.67316237,1.192292443,-3.080756229,0.002064756,0.031263924,,RP11,
CTD-2329K10.1,3.0683462,-3.673352033,1.209770872,-3.036403106,0.00239419,0.034969821,,CTD,
RP11-300M24.1,8.116813344,-3.682809332,0.886333126,-4.155107404,3.25E-05,0.001283834,,RP11,
GJD2,25.45872991,-3.787260807,0.752447704,-5.033254523,4.82E-07,4.24E-05,,GJD2,
CTD-2593A12.2,7.68876174,-3.825088795,1.042265437,-3.669975671,0.000242574,0.006247166,,CTD,
RNY4P13,19.7620626,-3.899126494,0.611302116,-6.378395213,1.79E-10,5.25E-08,,RNY4P13,
C8orf22,12.17399569,-3.987211175,1.103144807,-3.614404156,0.000301039,0.007356286,,C8orf22,
RP11-274H2.2,12.30577552,-4.002719178,0.731945926,-5.468599572,4.54E-08,5.70E-06,,RP11,
CRYGB,2.993101054,-4.100114136,1.209035632,-3.391226881,0.000695805,0.013978754,,CRYGB,
RP11-404O13.5,3.164847984,-4.17821154,1.394337356,-2.996557126,0.002730471,0.038474528,,RP11,
RP11-125D12.2,3.260238228,-4.205825023,1.250190448,-3.364147461,0.000767805,0.015012869,,RP11,
IDO2,3.273691191,-4.214389094,1.358508714,-3.102217197,0.00192077,0.02968585,,IDO2,
AC099342.1,24.44967735,-4.289270231,0.871273963,-4.922986811,8.52E-07,6.63E-05,,AC099342.1,
MEPE,392.3231065,-4.342233947,0.457487411,-9.491482918,2.28E-21,5.55E-18,,MEPE,
MIR3663HG,18.47431002,-4.432467786,1.173692013,-3.776516955,0.000159037,0.004488157,,MIR3663HG,
RP5-894D12.5,3.970084706,-4.532270245,1.200694751,-3.774706471,0.000160196,0.004511976,,RP5,
NPPC,26.78312582,-4.545193373,0.881519848,-5.156087391,2.52E-07,2.47E-05,,NPPC,
RPSAP52,3.063876996,-4.589058165,1.407975813,-3.259330255,0.001116756,0.019903089,,RPSAP52,
CTBP2P5,5.836323498,-4.652908869,1.143137113,-4.070298143,4.70E-05,0.001746437,,CTBP2P5,
RP11-229P13.25,3.578618499,-4.791528427,1.267936996,-3.778995678,0.000157462,0.004450407,,RP11,
CTD-2012K14.5,4.903610131,-4.839333752,1.644704644,-2.942372523,0.003257079,0.043840997,,CTD,
SMIM1,3.667747777,-4.85475919,1.565581018,-3.100931305,0.00192913,0.029746458,,SMIM1,
DYNAP,3.490013805,-5.20499409,1.323290703,-3.933371616,8.38E-05,0.002720944,,DYNAP,
AP000235.3,6.60994017,-6.124546442,1.186925309,-5.160009983,2.47E-07,2.45E-05,,AP000235.3,
KRT36,7.383439639,-6.297410857,1.471192348,-4.280480975,1.86E-05,0.000839825,,KRT36,
