"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC096640.1",155.851731116867,-2.39567557657266,0.307298990251312,-7.79591099408901,6.39454495836024e-15,5.02589918577254e-12
"FAM129A",499.06857935132,2.54129837749993,0.326224299384901,7.79003398058198,6.69911760412231e-15,5.09543528992258e-12
"DOCK2",620.721996734969,1.07896425576852,0.13906245041709,7.7588468528519,8.57050672704531e-15,6.31512431615629e-12
"RAB3IP",1253.49163701775,-1.00635018334065,0.130679401151807,-7.70090905277107,1.35101624501234e-14,9.65321577004421e-12
"ALPK2",142.89739894553,2.6852132044581,0.3491273900899,7.691213238144,1.45746287764446e-14,1.01075050564643e-11
"HP1BP3",12181.7980660442,1.38051107293188,0.179771381544977,7.67925940751859,1.60010926284704e-14,1.07080499677385e-11
"IGSF21",26826.1248005655,1.21864385941148,0.15874984460778,7.67650426633401,1.6348861225607e-14,1.07080499677385e-11
"TACR3",263.032320923813,1.53391930282331,0.200254940753118,7.65983249678912,1.86175743006597e-14,1.18644266063583e-11
"KLHL25",743.098635675581,0.851051297727011,0.111279586806333,7.64786536463471,2.043429945278e-14,1.267948281045e-11
"SH3RF2",3543.76689073584,1.73414994121612,0.227267834523251,7.63042400986446,2.33982853915556e-14,1.41463633653203e-11
"OSBPL10",6242.39583015368,-0.976102540980734,0.130804478834717,-7.4623021296857,8.50236440123946e-14,5.01193125542063e-11
"ALK",7902.41486561253,-2.08018707653685,0.279721859117564,-7.43662680885649,1.03288812973854e-13,5.90513051525077e-11
"LINC01105",2236.25287409597,-1.45984979640025,0.19644727305515,-7.43125508283548,1.07572033931488e-13,5.90513051525077e-11
"ZBED1P1",3436.00808702322,-1.43309623735443,0.192850872556655,-7.43111098412802,1.07689304956013e-13,5.90513051525077e-11
"MIR548AX",1760.59575501574,1.57916397863876,0.213449444077765,7.39830448124023,1.3793429171021e-13,7.39171060053421e-11
"RP11-218C23.1",106.318795345467,-2.91587392736305,0.396393044453596,-7.35601688314789,1.8947906125895e-13,9.92828174538839e-11
"SLC7A11",767.472298222092,2.02892968177685,0.276445344294565,7.33935196830422,2.14630503358891e-13,1.10016796493463e-10
"TOX2",2705.79588986432,-1.63018325573728,0.222363311696123,-7.33117007163956,2.2815190754527e-13,1.14459443149147e-10
"NRIR",236.949405631747,-1.54711587954701,0.211389514827281,-7.3187919505426,2.50213164123353e-13,1.21083413933626e-10
"RUNX2",2114.78926713775,-2.85427580432668,0.390033023666438,-7.31803624599669,2.51625907915843e-13,1.21083413933626e-10
"COL12A1",2635.54848186863,-1.74064767396277,0.238837957015451,-7.28798594542557,3.14622784081768e-13,1.4836981251728e-10
"RP11-7M10.2",740.174868312196,-3.36388924016131,0.467159096942361,-7.20073581394126,5.98884849015276e-13,2.7165581033731e-10
"SOX6",4600.38902460157,-2.92117753772631,0.405680360909825,-7.20068758363097,5.99096744456512e-13,2.7165581033731e-10
"LYPLA1P2",60.2996691811699,3.02796411993857,0.42102023579107,7.19196813485513,6.38639374739832e-13,2.84122222962085e-10
"PAPPA",3072.54331530608,-1.59356956808718,0.221914746000472,-7.18099899537003,6.92038612352631e-13,3.0217737853079e-10
"PRR5",133.35858454603,-1.79821898939777,0.253718149903099,-7.08746690011948,1.36588957059959e-12,5.85569276093957e-10
"AC093874.1",134.08072773923,2.33892539164244,0.330576471424185,7.07529299216583,1.49133329230613e-12,6.17513136637366e-10
"AC016768.1",895.507819912401,-1.00498077940652,0.142043569482171,-7.07515858035839,1.49277954062216e-12,6.17513136637366e-10
"MID1",1020.91294145944,-1.30947684362912,0.185800070117192,-7.0477736784662,1.81803015279598e-12,7.39091947806491e-10
"CPED1",1081.75447485465,-2.05555350857666,0.292214719661687,-7.03439412961977,2.00128689360899e-12,7.9980243498994e-10
"RN7SKP112",155.575301316257,3.15641967664858,0.449101421876943,7.02830034128342,2.09064506446571e-12,8.21588666250617e-10
"CCDC68",257.357906307924,-2.05814364631923,0.293984895341331,-7.00084827123388,2.54417356870054e-12,9.83427353711312e-10
"LRAT",74.7219763219495,-2.28738190875725,0.329118183505731,-6.95003200489352,3.6520335075208e-12,1.38889190441666e-09
"TMEM72-AS1",2259.28652113037,-1.0812016130886,0.156601614498922,-6.90415368033156,5.05036033190594e-12,1.89019755977794e-09
"VIM-AS1",24.0650587632255,3.11447576740933,0.451576143071863,6.89690058961706,5.31493466859444e-12,1.95813819610607e-09
"EGFEM1P",6030.38200351528,-1.94595551054275,0.283715474466274,-6.85882754264103,6.94279912118152e-12,2.51852708428214e-09
"GIF",202.1143898789,-1.95108274365108,0.284870684160491,-6.84901203295414,7.436174275544e-12,2.6566295945917e-09
"SULF1",1945.3577474794,-2.45888014236374,0.36037063562164,-6.82319783941932,8.90359027394323e-12,3.13339932939265e-09
"MYO5B",1507.41074363184,-2.61694539851814,0.38541251306112,-6.78998556049253,1.12144768555201e-11,3.8886198496516e-09
"HNF4A",121.353390152373,2.11339261932088,0.314239900748874,6.72541142701608,1.75096977983496e-11,5.98349513604763e-09
"EYA4",1448.27882549024,-2.29026275958979,0.341317638217249,-6.7100627191497,1.94540778771408e-11,6.55296717521576e-09
"ITGAX",84.0840398040067,4.27580693508091,0.641464941943727,6.66569075797756,2.63423408532065e-11,8.74825429546134e-09
"RP4-580N22.2",144.190962156445,1.76466277272118,0.264834818889885,6.66325817775081,2.67822565089497e-11,8.77081703089619e-09
"VWC2",3346.20692034611,-1.81763127037938,0.273045266716329,-6.65688620879023,2.79689555558606e-11,9.03397264454298e-09
"MYH14",596.562771417111,-1.58318303375839,0.237962803461991,-6.65306934834155,2.87042857456684e-11,9.1461939675286e-09
"RP11-257I8.1",2035.10713092915,1.40073507676651,0.210768390326062,6.64584985727485,3.0147245356667e-11,9.47789197686469e-09
"AC016723.4",9219.41715317967,1.00794520092274,0.151834494102428,6.63844673031134,3.17005868950616e-11,9.83510708419287e-09
"ADORA2A-AS1",211.018521872423,1.54516401551695,0.233342228015384,6.62187906860596,3.54661161343779e-11,1.08604617186039e-08
"ZNF467",30.6235041478245,-1.76480086866745,0.268693912275597,-6.56807165343333,5.09710144462946e-11,1.54082762772972e-08
"ADAMTS6",957.450289983473,-1.786631655756,0.272971771670742,-6.54511506746941,5.94495939392208e-11,1.77438224745935e-08
"MYO16",7757.17179144077,-1.64606819776043,0.252042637532063,-6.53091165002203,6.53705540646827e-11,1.92671536786394e-08
"ADAMTS20",160.398489946077,-1.47761907350928,0.227192206835118,-6.50382816423648,7.83013359851743e-11,2.27934222369682e-08
"TACR1",1805.89280343113,-1.29334002445385,0.199269118245595,-6.49041876554018,8.55981107062131e-11,2.46120075766885e-08
"LINC01162",47.0871046590425,-2.05034169383993,0.315991267599639,-6.48860238896762,8.66362707860872e-11,2.46120075766885e-08
"LRP5",58.8776113738582,-1.84986938316833,0.285633102756995,-6.47638304283705,9.39473743181127e-11,2.63712516553188e-08
"CTB-179I1.1",1397.54629672503,-1.76944946799465,0.273555611834587,-6.4683354734634,9.90883235987628e-11,2.74871009662968e-08
"FAM193A",7698.87492426128,0.52622912993408,0.0814252586261515,6.46272592574941,1.0283344660824e-10,2.81943004369268e-08
"SLC24A4",7411.68389939121,1.03653638782214,0.161176455185464,6.4310657945009,1.26712293677604e-10,3.42137661967984e-08
"FEZF2",200.648594027876,-1.94185843651787,0.302004591085649,-6.42989707387314,1.27690378104171e-10,3.42137661967984e-08
"RIPPLY3",27.7980336077332,3.49309678441478,0.543639149209433,6.42539594415613,1.31526711661333e-10,3.48457116209277e-08
"RP11-676F20.2",243.946676582457,1.22514578358339,0.190796254255731,6.42122555478101,1.35181552599597e-10,3.54160647638434e-08
"SIPA1L1",63723.5814919595,0.781420000601854,0.122186236117955,6.39531935370765,1.60212151478295e-10,4.11997997524808e-08
"B3GAT2",619.459436456221,-1.46990081948378,0.22985858561883,-6.39480494290208,1.6075243128327e-10,4.11997997524808e-08
"RP11-17A4.4",269.269057038812,2.46481376719649,0.387122498408456,6.36701245039974,1.92745535014862e-10,4.88682469904885e-08
"RP11-488L18.4",838.790630360203,-0.967048313975074,0.15211126560263,-6.3575061987937,2.05055399343906e-10,5.14361836290422e-08
"KIAA1024",539.067944481969,-1.32987709214481,0.209277404666568,-6.35461384024539,2.08950856365679e-10,5.18616025499616e-08
"CTAGE8",8411.37338795776,-1.95319381221187,0.307676514503025,-6.34820572953633,2.17840643928172e-10,5.29695088016713e-08
"RNY4P13",19.7620626031845,-3.95077291897461,0.62234944797233,-6.34815846924358,2.17907559852501e-10,5.29695088016713e-08
"RAB3B",930.856379206603,-2.04542930047547,0.3225966153802,-6.34051692719965,2.28995510454427e-10,5.50967871531117e-08
"LY86-AS1",18133.2428917411,0.865712302636427,0.136583817987625,6.33832261677486,2.32280057193993e-10,5.53225400866381e-08
"FRMPD1",170.625717982208,-2.42166638432432,0.382267566629055,-6.33500353084952,2.37335838603104e-10,5.59614173842258e-08
"FBN2",625.39136400991,-2.02547961353229,0.320016408546536,-6.32929924665956,2.46277079563022e-10,5.7494725336797e-08
"SLC27A6",491.550212233976,-1.33901116008925,0.211637077805379,-6.32692141648547,2.50100639383116e-10,5.78149311373969e-08
"TRPC7",323.096510411375,-1.6309679449183,0.25788806261326,-6.32432509047218,2.5434176217441e-10,5.82245088379652e-08
"SLC17A8",71.3975258107772,-2.95622423392765,0.468140908969087,-6.31481713580142,2.70481112327564e-10,6.13237898804965e-08
"ITGA1",492.068559987554,-1.71274726897814,0.272458934355645,-6.28625841552498,3.25208448265743e-10,7.30294285872186e-08
"RP11-88H9.2",2122.54691133653,1.34015836269443,0.213267358648891,6.28393567203491,3.30107343613758e-10,7.34301986327246e-08
"ITGA4",1184.93252226638,1.43054559818233,0.227857457594684,6.27824787164525,3.42409726708508e-10,7.54549434211206e-08
"PRDM1",335.879068834975,-1.93061031358343,0.308226087316142,-6.26361749712392,3.76147487540021e-10,8.21220519324644e-08
"HEG1",353.289610465753,-1.95509481149448,0.313213043322291,-6.24206064586753,4.31843440690653e-10,9.34168485141735e-08
"LRRC38",90.3693990673705,-3.46172389084616,0.555383548642942,-6.23303282804244,4.57490251799867e-10,9.8065114974446e-08
"VAV2",1294.27953241314,-2.36773250356288,0.380539515340419,-6.22204109721636,4.90728444973423e-10,1.04242216252508e-07
"AC013460.1",1389.64268714592,2.19937294193803,0.354903444476731,6.19710227152283,5.75121336871169e-10,1.20809293133118e-07
"TYRO3",2452.30716922193,0.73662827393442,0.11889479419007,6.19563101103331,5.80519817719895e-10,1.20809293133118e-07
"GARS",3467.58545214336,0.67295991747544,0.108635395538037,6.19466532194667,5.8409005543812e-10,1.20809293133118e-07
"CRHBP",181.032837264434,-2.59263394691077,0.418682521535691,-6.19236250274126,5.92690462731038e-10,1.21522160180306e-07
"SPRY1",365.223326070915,1.45924503927054,0.236019965952621,6.18271862459072,6.30069617135748e-10,1.28072512952102e-07
"TRBV11-3",351.43836656785,1.93117847709981,0.312577450765218,6.17823989661478,6.48201696333824e-10,1.30632032460301e-07
"MCTP2",1076.90555634264,-2.12270696029303,0.343961753787098,-6.17134590378593,6.77111037174244e-10,1.35301704623148e-07
"BMP7",69.1867220211153,-2.47997967612205,0.403071513249419,-6.15270391134648,7.61729372307131e-10,1.5093123419857e-07
"LUZP2",6365.06705785501,-1.45559180808375,0.236657209890061,-6.15063368979947,7.71739748523585e-10,1.51640429420313e-07
"HGF",311.154796455756,-2.81515693650306,0.458409016008525,-6.14114652677492,8.19279650357748e-10,1.5965119732054e-07
"KCNAB1",19902.5072189833,-1.58451507372143,0.259046915351191,-6.11671083430309,9.55264768749029e-10,1.8462449165847e-07
"CDCP1",162.355678091904,-1.36967510187465,0.224120855263582,-6.11132373318767,9.88080966157025e-10,1.89414317894443e-07
"MME",225.465671314917,-2.08926773860479,0.342543174109156,-6.09928294159793,1.06545330730842e-09,2.02599383330849e-07
"RP3-394A18.1",50.9675016531432,2.24718030159772,0.369030593142987,6.08941465383334,1.13324257250211e-09,2.13765812936218e-07
"MCC",3705.57884539778,-1.30912864283695,0.215694900438337,-6.06935370366442,1.28426019333371e-09,2.40329929354091e-07
"RP11-468D11.1",2552.36049733756,1.14930343562849,0.189570514526469,6.06266981180774,1.33880334841845e-09,2.48363783805887e-07
"GPR173",2167.76841235572,1.10145705358148,0.181729115017898,6.06098287262885,1.35292240155192e-09,2.48363783805887e-07
"FAH",103.216553054696,-1.90458094404659,0.31427241295361,-6.06028676251557,1.35879079311927e-09,2.48363783805887e-07
"RP11-473N11.2",15623.6362480822,-1.31248349495539,0.216814615379412,-6.05348256923836,1.41747416861624e-09,2.57097103244633e-07
"CTD-2515H24.1",265.604968634236,-1.84468509390835,0.304914386678119,-6.04984603712938,1.44984326666755e-09,2.60960720494306e-07
"RP11-375B1.1",515.096779170104,-1.34968024085079,0.223300836279042,-6.04422385218566,1.50130949766888e-09,2.68177095799505e-07
"LINC01035",55.5437742916307,-3.46214111398283,0.575177930009044,-6.0192523623575,1.75224502892094e-09,3.1064801155584e-07
"TRPC3",525.048153755643,-1.89399744193915,0.315105777209782,-6.01067190424192,1.84755981720531e-09,3.25101589028984e-07
"RP5-965F6.2",814.845802628461,2.01768818314746,0.33629065561066,5.99983421925181,1.97519082111821e-09,3.44985365712195e-07
"SLC8A1-AS1",1200.55769081509,1.15791797350449,0.193354812899448,5.98856556059273,2.11699802746995e-09,3.67034533012602e-07
"FARP1",11266.2137095049,-0.637399587367142,0.106860208817833,-5.96479825763519,2.44936477942032e-09,4.21558920685779e-07
"ASTN2",39752.6508875264,-1.11350077708066,0.186833075766273,-5.95986964574542,2.52439220802364e-09,4.3132350632601e-07
"SLC8B1",397.204794669544,-1.21777722128523,0.204465520296493,-5.95590503239542,2.586364949746e-09,4.38733087410511e-07
"GPR149",604.10050932839,-2.89965527265404,0.487080663235378,-5.9531315683801,2.63059650786008e-09,4.42380305818535e-07
